     Èas / s    Napìtí / V
       0,000  5,00000E-006
       0,240  4,50000E-006
       0,471  5,00000E-006
       0,711  4,90000E-006
       0,942  4,90000E-006
       1,172  4,90000E-006
       1,403  4,90000E-006
       1,633  4,80000E-006
       1,864  5,00000E-006
       2,104  5,40000E-006
       2,334  4,90000E-006
       2,565  5,00000E-006
       2,795  4,70000E-006
       3,025  5,20000E-006
       3,256  4,90000E-006
       3,486  4,40000E-006
       3,716  4,50000E-006
       3,946  5,10000E-006
       4,176  4,90000E-006
       4,406  4,60000E-006
       4,637  4,70000E-006
       4,867  4,80000E-006
       5,097  4,60000E-006
       5,327  4,70000E-006
       5,558  4,90000E-006
       5,788  5,00000E-006
       6,018  4,70000E-006
       6,249  4,60000E-006
       6,479  4,80000E-006
       6,710  4,60000E-006
       6,940  4,50000E-006
       7,170  4,40000E-006
       7,401  4,90000E-006
       7,631  4,80000E-006
       7,861  4,60000E-006
       8,091  4,70000E-006
       8,322  4,50000E-006
       8,552  4,90000E-006
       8,782  5,00000E-006
       9,013  4,70000E-006
       9,243  4,60000E-006
       9,474  4,50000E-006
       9,704  4,60000E-006
       9,934  4,60000E-006
      10,165  4,70000E-006
      10,395  4,60000E-006
      10,626  4,40000E-006
      10,856  4,60000E-006
      11,087  4,80000E-006
      11,317  4,60000E-006
      11,547  4,80000E-006
      11,777  4,70000E-006
      12,007  4,80000E-006
      12,238  4,60000E-006
      12,468  4,80000E-006
      12,699  4,90000E-006
      12,929  5,10000E-006
      13,159  4,70000E-006
      13,389  4,60000E-006
      13,620  4,60000E-006
      13,850  4,20000E-006
      14,081  4,50000E-006
      14,311  4,80000E-006
      14,541  4,20000E-006
      14,771  4,40000E-006
      15,002  4,50000E-006
      15,232  4,40000E-006
      15,463  4,50000E-006
      15,693  4,70000E-006
      15,923  4,40000E-006
      16,154  4,60000E-006
      16,384  4,60000E-006
      16,614  4,50000E-006
      16,845  4,30000E-006
      17,075  4,80000E-006
      17,306  4,50000E-006
      17,536  4,70000E-006
      17,766  4,20000E-006
      17,996  4,20000E-006
      18,226  4,40000E-006
      18,457  4,60000E-006
      18,687  4,30000E-006
      18,917  4,40000E-006
      19,147  4,40000E-006
      19,378  4,30000E-006
      19,608  4,20000E-006
      19,838  4,50000E-006
      20,069  4,40000E-006
      20,299  4,40000E-006
      20,529  4,30000E-006
      20,759  4,50000E-006
      20,990  4,50000E-006
      21,220  4,60000E-006
      21,450  4,20000E-006
      21,681  4,40000E-006
      21,911  4,20000E-006
      22,141  4,50000E-006
      22,372  4,30000E-006
      22,602  4,30000E-006
      22,833  4,60000E-006
      23,063  4,30000E-006
      23,294  4,30000E-006
      23,524  4,30000E-006
      23,754  4,40000E-006
      23,984  4,20000E-006
      24,215  4,30000E-006
      24,445  4,40000E-006
      24,676  4,70000E-006
      24,906  4,60000E-006
      25,136  4,40000E-006
      25,366  4,30000E-006
      25,596  4,70000E-006
      25,827  4,20000E-006
      26,057  4,30000E-006
      26,287  4,40000E-006
      26,517  4,00000E-006
      26,748  4,40000E-006
      26,978  4,10000E-006
      27,209  4,30000E-006
      27,439  4,60000E-006
      27,679  4,60000E-006
      27,909  4,60000E-006
      28,140  4,70000E-006
      28,370  4,60000E-006
      28,600  4,20000E-006
      28,830  4,20000E-006
      29,060  4,20000E-006
      29,290  3,90000E-006
      29,521  4,10000E-006
      29,751  4,20000E-006
      29,991  3,70000E-006
      30,221  4,20000E-006
      30,452  4,10000E-006
      30,682  4,20000E-006
      30,922  4,50000E-006
      31,153  4,40000E-006
      31,383  4,50000E-006
      31,613  4,10000E-006
      31,854  4,00000E-006
      32,084  4,10000E-006
      32,324  4,20000E-006
      32,554  4,30000E-006
      32,794  4,20000E-006
      33,024  4,30000E-006
      33,265  4,20000E-006
      33,495  4,50000E-006
      33,735  4,20000E-006
      33,976  4,30000E-006
      34,206  4,00000E-006
      34,436  4,00000E-006
      34,676  4,10000E-006
      34,906  4,20000E-006
      35,137  4,00000E-006
      35,377  4,60000E-006
      35,607  3,90000E-006
      35,838  4,20000E-006
      36,068  4,00000E-006
      36,308  4,10000E-006
      36,538  4,30000E-006
      36,779  4,20000E-006
      37,009  4,00000E-006
      37,249  4,10000E-006
      37,479  4,30000E-006
      37,720  4,40000E-006
      37,950  3,90000E-006
      38,190  4,30000E-006
      38,420  4,20000E-006
      38,650  4,20000E-006
      38,880  4,10000E-006
      39,120  4,30000E-006
      39,351  4,10000E-006
      39,592  4,30000E-006
      39,822  3,70000E-006
      40,062  4,40000E-006
      40,303  4,50000E-006
      40,543  4,20000E-006
      40,774  4,20000E-006
      41,014  4,20000E-006
      41,244  4,20000E-006
      41,475  4,00000E-006
      41,705  4,40000E-006
      41,935  3,80000E-006
      42,176  3,90000E-006
      42,416  3,90000E-006
      42,656  4,10000E-006
      42,886  4,20000E-006
      43,117  4,10000E-006
      43,357  4,10000E-006
      43,587  4,20000E-006
      43,827  4,20000E-006
      44,057  4,10000E-006
      44,288  4,10000E-006
      44,518  4,00000E-006
      44,748  4,10000E-006
      44,978  4,00000E-006
      45,218  3,80000E-006
      45,449  4,20000E-006
      45,689  3,80000E-006
      45,920  3,90000E-006
      46,160  4,20000E-006
      46,390  4,10000E-006
      46,630  4,10000E-006
      46,871  4,30000E-006
      47,101  3,80000E-006
      47,341  4,00000E-006
      47,581  4,10000E-006
      47,812  3,80000E-006
      48,052  4,30000E-006
      48,292  3,90000E-006
      48,533  4,20000E-006
      48,773  4,10000E-006
      49,013  4,20000E-006
      49,244  3,70000E-006
      49,484  3,60000E-006
      49,724  3,90000E-006
      49,964  4,20000E-006
      50,205  4,40000E-006
      50,445  4,10000E-006
      50,685  3,90000E-006
      50,925  4,10000E-006
      51,166  4,00000E-006
      51,406  4,10000E-006
      51,646  4,00000E-006
      51,887  4,20000E-006
      52,127  3,90000E-006
      52,367  4,00000E-006
      52,607  3,90000E-006
      52,847  3,90000E-006
      53,088  3,70000E-006
      53,328  4,00000E-006
      53,568  4,10000E-006
      53,808  4,10000E-006
      54,039  4,00000E-006
      54,279  4,00000E-006
      54,519  3,80000E-006
      54,759  4,20000E-006
      55,000  3,70000E-006
      55,240  4,10000E-006
      55,480  4,00000E-006
      55,720  3,90000E-006
      55,961  3,90000E-006
      56,201  3,90000E-006
      56,432  4,20000E-006
      56,662  3,60000E-006
      56,902  4,00000E-006
      57,142  3,90000E-006
      57,383  3,80000E-006
      57,623  3,80000E-006
      57,863  4,10000E-006
      58,103  3,80000E-006
      58,343  4,00000E-006
      58,584  3,90000E-006
      58,824  4,00000E-006
      59,064  3,70000E-006
      59,304  3,90000E-006
      59,545  3,90000E-006
      59,785  3,90000E-006
      60,025  4,00000E-006
      60,256  3,80000E-006
      60,496  4,00000E-006
      60,736  3,80000E-006
      60,977  3,90000E-006
      61,217  3,60000E-006
      61,457  3,80000E-006
      61,698  3,90000E-006
      61,938  3,90000E-006
      62,178  3,90000E-006
      62,409  3,80000E-006
      62,639  3,60000E-006
      62,879  3,90000E-006
      63,119  4,10000E-006
      63,359  4,20000E-006
